Date,Entry_Time,Exit_Time,Symbol,Direction,Entry_Price,Exit_Price,SL_Price,Target1_Price,Target2_Price,Shares,Outcome,PnL_Rs,Return_Pct,Capital_After
2026-07-23,09:15 AM,09:20 AM,BPCL,LONG,306.0,312.12,303.55,309.67,312.12,1022,HIT_T2,6254.64,0.02499,256542.72
2026-07-23,09:15 AM,09:20 AM,APARINDS,LONG,13552.0,13714.62,13443.58,13714.62,13823.04,23,HIT_T1,3740.35,0.01458,260283.07
2026-07-23,09:15 AM,09:20 AM,AEGISLOG,LONG,1349.0,1365.19,1338.21,1365.19,1375.98,241,HIT_T1,3901.31,0.014989,264184.38
2026-07-24,09:15 AM,09:20 AM,ABDL,LONG,584.85,596.55,580.17,591.87,596.55,564,HIT_T2,6597.11,0.024972,270781.49
2026-07-24,09:15 AM,09:20 AM,ACE,LONG,975.0,986.7,967.2,986.7,994.5,347,HIT_T1,4059.9,0.014993,274841.39
2026-07-24,09:15 AM,09:20 AM,DMART,LONG,3990.0,4037.88,3958.08,4037.88,4069.8,86,HIT_T1,4117.68,0.014982,278959.07
2026-07-27,09:15 AM,09:20 AM,ACUTAAS,LONG,3273.5,3338.97,3247.31,3312.78,3338.97,106,HIT_T2,6939.82,0.024878,285898.89
2026-07-27,09:15 AM,09:25 AM,ABREL,LONG,1385.4,1402.02,1374.32,1402.02,1413.11,257,HIT_T1,4272.57,0.014944,290171.46
2026-07-27,09:15 AM,09:20 AM,ACE,LONG,1049.6,1062.2,1041.2,1062.2,1070.59,345,HIT_T1,4345.34,0.014975,294516.81
2026-07-28,09:15 AM,09:20 AM,AFFLE,LONG,1500.0,1530.0,1488.0,1518.0,1530.0,245,HIT_T2,7350.0,0.024956,301866.81
2026-07-28,09:15 AM,09:20 AM,ACE,LONG,1058.5,1071.2,1050.03,1071.2,1079.67,356,HIT_T1,4521.91,0.01498,306388.72
2026-07-29,09:15 AM,09:30 AM,ABDL,LONG,620.95,628.4,615.98,628.4,633.37,616,HIT_T1,4590.06,0.014981,310978.78
2026-07-29,09:15 AM,09:20 AM,BALKRISIND,LONG,2023.4,2047.68,2007.21,2047.68,2063.87,192,HIT_T1,4661.91,0.014991,315640.69
2026-07-29,09:15 AM,09:20 AM,AARTIIND,LONG,478.1,483.84,474.28,483.84,487.66,825,HIT_T1,4733.19,0.014996,320373.88
2026-07-30,09:15 AM,09:35 AM,ALKEM,LONG,5689.0,5802.78,5643.49,5757.27,5802.78,70,HIT_T2,7964.6,0.02486,328338.48
2026-07-30,09:15 AM,09:20 AM,BALKRISIND,LONG,2230.0,2274.6,2212.16,2256.76,2274.6,184,HIT_T2,8206.4,0.024994,336544.88
2026-07-30,09:15 AM,09:20 AM,AJANTPHARM,LONG,3355.1,3422.2,3328.26,3395.36,3422.2,125,HIT_T2,8387.75,0.024923,344932.63
2026-07-31,09:15 AM,09:20 AM,BALKRISIND,LONG,2344.1,2372.23,2325.35,2372.23,2390.98,183,HIT_T1,5147.64,0.014924,350080.28
2026-07-31,09:15 AM,09:20 AM,CPPLUS,LONG,3285.9,3325.33,3259.61,3325.33,3351.62,133,HIT_T1,5244.3,0.01498,355324.57
2026-07-31,09:15 AM,09:30 AM,ASHOKLEY,LONG,159.97,161.89,158.69,161.89,163.17,2776,HIT_T1,5328.92,0.014997,360653.49
2026-08-03,09:15 AM,09:20 AM,AAVAS,LONG,1359.8,1387.0,1348.92,1376.12,1387.0,331,HIT_T2,9001.88,0.02496,369655.37
2026-08-03,09:15 AM,09:20 AM,ABCAPITAL,LONG,410.9,419.12,407.61,415.83,419.12,1124,HIT_T2,9237.03,0.024988,378892.4
2026-08-03,09:15 AM,09:20 AM,BALRAMCHIN,LONG,597.0,608.94,592.22,604.16,608.94,793,HIT_T2,9468.42,0.02499,388360.82
2026-08-04,09:15 AM,09:20 AM,ATHERENERG,LONG,1349.4,1376.39,1338.6,1365.59,1376.39,359,HIT_T2,9688.69,0.024948,398049.52
2026-08-04,09:15 AM,09:20 AM,ACUTAAS,LONG,3075.1,3136.6,3050.5,3112.0,3136.6,161,HIT_T2,9901.82,0.024876,407951.34
2026-08-04,09:15 AM,09:20 AM,APARINDS,LONG,14826.0,15003.91,14707.39,15003.91,15122.52,34,HIT_T1,6049.01,0.014828,414000.35
2026-08-05,09:15 AM,09:20 AM,BALKRISIND,LONG,2469.8,2519.2,2450.04,2499.44,2519.2,209,HIT_T2,10323.76,0.024937,424324.11
2026-08-05,09:15 AM,09:20 AM,ARE&M,LONG,928.0,939.14,920.58,939.14,946.56,571,HIT_T1,6358.66,0.014985,430682.77
2026-08-05,09:15 AM,09:20 AM,BLS,LONG,249.28,252.27,247.29,252.27,254.27,2159,HIT_T1,6458.35,0.014996,437141.11
2026-08-06,09:15 AM,09:20 AM,AEGISVOPAK,LONG,279.0,284.58,276.77,282.35,284.58,1958,HIT_T2,10925.64,0.024993,448066.75
2026-08-06,09:15 AM,09:20 AM,ASTERDM,LONG,811.25,820.98,804.76,820.98,827.48,690,HIT_T1,6717.15,0.014991,454783.9
2026-08-06,09:15 AM,09:20 AM,AWL,LONG,193.05,195.37,191.51,195.37,196.91,2944,HIT_T1,6820.07,0.014996,461603.97
2026-08-07,09:15 AM,09:20 AM,ATHERENERG,LONG,1446.0,1474.92,1434.43,1463.35,1474.92,399,HIT_T2,11539.08,0.024998,473143.05
2026-08-07,09:15 AM,09:20 AM,BALKRISIND,LONG,2441.9,2471.2,2422.36,2471.2,2490.74,242,HIT_T1,7091.28,0.014988,480234.33
2026-08-07,09:15 AM,09:20 AM,ACMESOLAR,LONG,372.0,376.46,369.02,376.46,379.44,1613,HIT_T1,7200.43,0.014994,487434.76
2026-08-10,09:15 AM,09:25 AM,BEML,LONG,1787.8,1823.56,1773.5,1809.25,1823.56,340,HIT_T2,12157.04,0.024941,499591.8
2026-08-10,09:15 AM,09:20 AM,ASTERDM,LONG,868.0,878.42,861.06,878.42,885.36,719,HIT_T1,7489.1,0.01499,507080.91
2026-08-10,09:15 AM,09:20 AM,APARINDS,LONG,16675.0,16541.6,16541.6,16875.1,17008.5,38,HIT_SL,-5069.2,-0.009997,502011.71
